raceId,year,gp_name,rain,sc_laps,vsc_laps,safety_car,total_sc
1071,2021,São Paulo GP,1,6,3,1,9
1072,2021,Saudi Arabian GP,0,8,0,1,8
1073,2021,Abu Dhabi GP,0,5,0,1,5
1074,2022,Bahrain GP,0,0,0,0,0
1075,2022,Saudi Arabian GP,0,0,0,0,0
1076,2022,Australian GP,0,6,0,1,6
1077,2022,Emilia Romagna GP,1,5,6,1,11
1078,2022,Miami GP,0,0,0,0,0
1079,2022,Spanish GP,0,0,0,0,0
1080,2022,Monaco GP,1,5,0,1,5
1081,2022,Azerbaijan GP,0,0,0,0,0
1082,2022,Canadian GP,1,7,0,1,7
1083,2022,British GP,0,8,0,1,8
1084,2022,Austrian GP,0,0,0,0,0
1085,2022,French GP,0,0,0,0,0
1086,2022,Hungarian GP,0,0,0,0,0
1087,2022,Belgian GP,0,0,3,0,3
1088,2022,Dutch GP,0,0,0,0,0
1089,2022,Italian GP,0,4,0,1,4
1091,2022,Singapore GP,0,0,0,0,0
1092,2022,Japanese GP,1,8,0,1,8
1093,2022,United States GP,0,0,0,0,0
1094,2022,Mexico City GP,0,0,0,0,0
1095,2022,São Paulo GP,0,4,3,1,7
1096,2022,Abu Dhabi GP,0,0,0,0,0
1098,2023,Bahrain GP,0,0,0,0,0
1099,2023,Saudi Arabian GP,0,0,0,0,0
1100,2023,Australian GP,0,6,0,1,6
1101,2023,Azerbaijan GP,0,0,0,0,0
1102,2023,Miami GP,0,0,0,0,0
1104,2023,Monaco GP,1,0,0,0,0
1105,2023,Spanish GP,0,0,0,0,0
1106,2023,Canadian GP,1,8,0,1,8
1107,2023,Austrian GP,0,0,0,0,0
1108,2023,British GP,0,5,0,1,5
1109,2023,Hungarian GP,0,0,0,0,0
1110,2023,Belgian GP,1,4,0,1,4
1111,2023,Dutch GP,0,0,3,0,3
1112,2023,Italian GP,0,0,0,0,0
1113,2023,Singapore GP,0,0,0,0,0
1114,2023,Japanese GP,0,0,0,0,0
1115,2023,Qatar GP,0,0,0,0,0
1116,2023,United States GP,0,0,0,0,0
1117,2023,Mexico City GP,0,0,0,0,0
1118,2023,São Paulo GP,1,7,0,1,7
1119,2023,Las Vegas GP,0,0,0,0,0
1120,2023,Abu Dhabi GP,0,0,0,0,0
1121,2024,Bahrain GP,0,0,0,0,0
1122,2024,Saudi Arabian GP,0,0,0,0,0
1123,2024,Australian GP,0,4,0,1,4
1124,2024,Japanese GP,0,0,0,0,0
1125,2024,Chinese GP,0,0,0,0,0
1126,2024,Miami GP,0,5,0,1,5
1127,2024,Emilia Romagna GP,0,0,0,0,0
1128,2024,Monaco GP,1,0,0,0,0
1129,2024,Canadian GP,0,4,0,1,4
1130,2024,Spanish GP,0,0,0,0,0
1131,2024,Austrian GP,1,5,0,1,5
1132,2024,British GP,1,6,0,1,6
1133,2024,Hungarian GP,0,0,0,0,0
1134,2024,Belgian GP,1,5,0,1,5
1135,2024,Dutch GP,0,0,0,0,0
1136,2024,Italian GP,0,0,0,0,0
1137,2024,Azerbaijan GP,0,0,0,0,0
1138,2024,Singapore GP,0,0,0,0,0
1139,2024,United States GP,0,0,0,0,0
1140,2024,Mexico City GP,0,0,0,0,0
1141,2024,São Paulo GP,1,8,0,1,8
1142,2024,Las Vegas GP,0,0,0,0,0
1143,2024,Qatar GP,0,0,0,0,0
1144,2024,Abu Dhabi GP,0,0,0,0,0
